time,open,high,low,close,volume
1970-01-01 00:50:00,113.42,119.76,105.43,118.13,163
1970-01-01 00:50:10,118.16,122.25,104.79,119.33,171
1970-01-01 00:50:20,121.49,128.33,117.13,128.33,120
1970-01-01 00:50:30,128.21,137.26,120.32,120.35,193
1970-01-01 00:50:40,136.3,146.93,118.16,120.15,140
1970-01-01 00:50:50,119.59,122.28,115.89,120.02,166
1970-01-01 00:51:00,119.13,126.79,115.77,124.86,168
1970-01-01 00:51:10,125.35,128.27,118.84,118.84,154
1970-01-01 00:51:20,118.21,123.9,111.05,111.23,147
1970-01-01 00:51:30,110.9,121.61,108.98,117.34,169
1970-01-01 00:51:40,117.34,127.43,114.02,114.98,148
1970-01-01 00:51:50,114.67,129.27,107.34,108.33,150
1970-01-01 00:52:00,108.02,111.92,103.26,104.48,161
1970-01-01 00:52:10,110.8,115.05,108.04,114.63,141
1970-01-01 00:52:20,114.63,118.94,103.23,103.23,153
1970-01-01 00:52:30,103.16,121.83,98.32,98.58,161
1970-01-01 00:52:40,98.51,126.36,95.44,125.64,125
1970-01-01 00:52:50,125.64,130.04,93.23,94.13,166
1970-01-01 00:53:00,93.48,130.4,90.17,90.37,143
1970-01-01 00:53:10,90.38,94.73,87.54,94.2,171
1970-01-01 00:53:20,94.74,97.28,84.7,95.92,161
1970-01-01 00:53:30,84.79,98.2,83.17,97.93,158
1970-01-01 00:53:40,97.88,109.33,81.36,109.33,150
1970-01-01 00:53:50,109.41,114.95,80.72,114.95,147
1970-01-01 00:54:00,114.95,122.96,80.09,116.13,166
1970-01-01 00:54:10,117.27,130.02,113.37,116.67,135
1970-01-01 00:54:20,116.79,123.89,112.14,122.89,160
1970-01-01 00:54:30,122.89,124.44,116.34,124.29,178
1970-01-01 00:54:40,124.29,128.34,110.89,117.41,160
1970-01-01 00:54:50,118.62,125.41,110.44,124.37,174
1970-01-01 00:55:00,123.99,128.17,119.23,120.13,133
1970-01-01 00:55:10,120.13,123.02,114.36,116.0,150
1970-01-01 00:55:20,116.0,120.08,111.66,118.37,152
1970-01-01 00:55:30,118.35,124.9,116.99,117.21,153
1970-01-01 00:55:40,118.31,128.38,114.4,114.67,133
1970-01-01 00:55:50,117.51,122.23,112.11,113.9,150
1970-01-01 00:56:00,113.9,127.63,109.33,127.58,169
1970-01-01 00:56:10,127.63,135.57,106.27,134.94,147
1970-01-01 00:56:20,134.94,139.8,105.82,133.15,145
1970-01-01 00:56:30,133.15,140.87,129.16,129.53,161
1970-01-01 00:56:40,139.6,141.57,125.87,127.08,174
1970-01-01 00:56:50,126.68,143.64,119.91,120.36,142
1970-01-01 00:57:00,120.36,133.06,113.07,117.97,166
1970-01-01 00:57:10,117.97,121.01,107.8,107.8,149
1970-01-01 00:57:20,108.03,122.15,103.02,103.44,104
1970-01-01 00:57:30,103.44,113.44,102.09,111.29,188
1970-01-01 00:57:40,111.02,118.93,109.11,118.93,133
1970-01-01 00:57:50,119.03,121.04,100.45,101.4,160
1970-01-01 00:58:00,99.94,110.28,93.92,95.12,178
1970-01-01 00:58:10,95.12,98.2,91.41,91.64,152
1970-01-01 00:58:20,91.28,98.29,88.05,98.23,160
1970-01-01 00:58:30,98.23,103.54,86.87,103.54,113
1970-01-01 00:58:40,103.54,106.11,85.34,105.05,192
1970-01-01 00:58:50,105.2,111.88,101.07,104.34,165
1970-01-01 00:59:00,104.16,115.88,97.32,97.86,162
1970-01-01 00:59:10,103.41,104.58,94.83,98.05,156
1970-01-01 00:59:20,97.58,100.36,92.43,92.93,153
1970-01-01 00:59:30,93.36,100.87,91.39,94.33,156
1970-01-01 00:59:40,94.33,99.28,85.29,85.97,158
1970-01-01 00:59:50,85.97,101.89,82.19,101.44,144
