time,price
1697001,72.13
1697001,72.16
1697001,72.20
1697001,72.15
1697001,72.00
1697001,72.02
1697001,72.07
1697001,72.40
1697001,72.58
1697001,72.64
1697001,72.61
1697001,72.22
1697001,72.38
1697001,72.28
1697401,72.42
1697401,71.75
1697401,71.72
1697401,71.60
1697401,71.74
1697401,72.42
1697401,72.11
1697401,71.98
1697401,70.47
1697401,70.47
1697401,71.06
1697401,69.87
1697401,71.22
1697401,72.42
1697401,71.21
1697401,71.00
1697401,70.47
1697401,70.98
1697401,71.45
1697401,71.21
1697401,71.08
1697401,71.53
1697401,71.44
1697401,71.30
1697401,71.32
1697401,71.48
1697401,71.46
1697801,72.42
1698201,71.95
1698401,71.96
1698401,72.62
